Content,Video title,Video publish time,Clicks per end screen element shown (%),End screen elements shown,End screen element clicks,Views per playlist start,Views from playlist,Comments added,Shares,Dislikes,Likes,Subscribers lost,Subscribers gained,Average views per viewer,Unique viewers,Returning viewers,New viewers,Average percentage viewed (%),Average view duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
sfCwgh2Wxjf,Artist36 - Song45,"Feb 13, 2024",11.96,92,11,8,24,0,0,1,14,1,1,1.1344,677,577,65,17.96,0:00:37,768,8.0838,0,0.392,8823,5.98
LoQZlC9RtG8,Artist4 - Song4,"Nov 17, 2023",1.3,1150,15,14.1429,99,0,2,1,22,0,2,2.0963,779,698,73,54.69,0:01:22,1633,37.4599,2,1.428,12813,7.52
auyORTEbBrE,Artist37 - Song46,"Jan 7, 2024",0.93,540,5,6.9429,243,1,1,0,39,0,5,1.305,1574,928,634,32.67,0:01:01,2054,35.2293,5,2.198,42890,3.43
k7ggGQeHPdW,Artist16 - Song19,"Feb 4, 2024",5.66,318,18,8.5833,103,2,8,0,27,0,3,1.3003,1109,954,144,28.33,0:00:59,1442,23.9288,3,1.112,11531,7.16
n1uorHLZgUA,Artist7 - Song47,"Nov 1, 2023",0.18,161908,288,17,136,3,124,53,1819,3,85,2.3948,106033,55752,49206,47.62,0:01:27,253923,6146.0033,82,409.57,1846710,7.85
6kO58Ul7vEg,Artist33 - Song48,"Dec 29, 2023",2.36,764,18,12,156,1,9,0,49,0,4,1.6085,1244,880,355,46.18,0:00:41,2001,22.8446,4,1.303,26386,5.25
561pmL9Guft,Artist18 - Song49,"Jan 24, 2024",1.43,2441,35,9.5,152,0,4,2,117,0,11,1.589,3922,3442,317,42.81,0:00:59,6232,103.7311,11,4.17,41888,8.51
9RD58T2NrRI,Artist38 - Song50,"Jan 1, 2024",3.33,961,32,6.3,252,3,4,0,44,0,2,1.438,1806,1551,243,44.65,0:00:38,2597,27.7271,2,1.32,24461,7.27
M2QROaOHt0D,Artist9 - Song51,"Nov 30, 2023",6.15,1497,92,6.75,108,1,15,0,53,0,10,1.7049,1928,1796,105,43.89,0:01:20,3287,73.7687,10,3.571,15134,8.15
KkjSm8xcv4e,Artist39 - Song52,"Dec 9, 2023",0.37,9378,35,6.9,138,2,10,5,278,1,9,1.5792,13784,10132,2835,45.07,0:01:19,21768,479.5421,8,19.757,129765,7.68
cuyJeGmVbRZ,Artist40 - Song53,"Jan 17, 2024",1.43,2732,39,3.4324,254,1,16,3,126,2,12,1.4911,4423,3747,389,39.87,0:00:58,6595,106.6398,10,4.227,51553,8.35
2qRW0W5nUON,Artist7 - Song54,"Dec 30, 2023",2.54,786,20,41.2,206,1,4,1,25,0,2,1.5054,1300,967,326,35.92,0:01:00,1957,32.8021,2,1.633,25354,4.86
