content,video_title,video_publish_time,clicks_per_end_screen_element_shown_(%),end_screen_elements_shown,end_screen_element_clicks,views_per_playlist_start,views_from_playlist,comments_added,shares,dislikes,likes,subscribers_lost,subscribers_gained,average_views_per_viewer,unique_viewers,returning_viewers,new_viewers,average_percentage_viewed_(%),average_view_duration,views,watch_time_(hours),subscribers,estimated_revenue_(usd),impressions,impressions_click-through_rate_(%)
83V2G3TRwsY,Artist23 - Song97,2023-12-17,1.5,1264,19,7.4286,104.0,4,15,0,73,1,13,1.75,1820,1054.0,754.0,49.14,0:01:43,3185,91.2621,12,3.15,41027,5.11
Lk4MTm5AuRs,Artist60 - Song98,2024-01-27,2.39,1340,32,10.0,130.0,2,5,0,68,1,6,1.8106,1579,1397.0,165.0,43.18,0:01:22,2859,65.1544,5,2.797,28665,6.03
OkJxQ4SNWNj,Artist59 - Song99,2024-01-13,0.77,2858,22,7.8667,118.0,0,12,0,63,2,12,1.5199,3322,2587.0,722.0,47.85,0:01:37,5049,136.223,10,6.567,46222,6.92
iVd1NgpkhB9,Artist17 - Song100,2023-11-07,0.56,842703,4747,7.4,111.0,63,8071,205,12977,112,1339,2.471,514458,128999.0,378792.0,55.54,0:01:31,1271243,32361.8686,1227,827.091,9223875,8.24
7xh0dwvXDvE,Artist61 - Song101,2024-01-25,1.08,2313,25,2.2676,161.0,1,8,2,120,1,13,1.4301,4776,3764.0,811.0,45.02,0:01:35,6830,181.0557,12,6.571,37848,8.06
0IlDmXElh4f,Artist10 - Song102,2024-01-21,0.66,10186,67,13.0,143.0,2,32,10,478,5,25,1.6116,23749,18544.0,4383.0,29.71,0:00:59,38275,628.4758,20,25.668,292861,9.0
ohMJt4OzzTn,Artist24 - Song103,2024-02-20,8.07,161,13,,1.0,1,0,2,15,0,3,1.166,482,333.0,17.0,27.6,0:00:54,562,8.5315,3,0.271,5501,6.69
3hrxfr6SXYq,Artist62 - Song104,2024-02-21,2.22,992,22,6.0,6.0,2,2,0,53,0,7,1.1422,2251,543.0,320.0,41.87,0:01:06,2571,47.2467,7,0.788,26041,5.53
KEw0Qxkjnnm,Artist63 - Song105,2024-01-15,0.83,2641,22,18.7,187.0,2,13,5,158,0,12,1.4256,6473,5271.0,1076.0,38.46,0:01:23,9228,212.968,12,7.658,62304,6.85
DINPhpoSmuJ,Artist64 - Song106,2023-11-19,1.12,984,11,8.0769,105.0,1,5,0,28,1,4,2.1332,931,807.0,109.0,50.4,0:02:15,1986,74.796,3,3.121,14835,7.37
